country,team_matches_played,matches_won,matches_lost,matches_tied,matches_with_no_result,win_loss_ratio,avg_runs_per_wicket_batting,avg_runs_per_six_balls_batting,number_of_team_innings_batting,highest_team_score_batting,lowest_completed_score_batting
England,117,58,53,2,4,1.094,24.81,8.32,117,241,80
Australia,125,67,53,2,3,1.264,26.46,8.43,125,263,79
South Africa,121,70,49,1,1,1.428,27.06,8.17,121,241,89
West Indies,124,54,62,3,5,0.870,22.57,7.77,121,245,45
New Zealand,131,61,59,8,3,1.033,23.42,8.14,130,243,60
India,134,83,44,3,4,1.886,30.82,8.33,131,260,74
Pakistan,151,92,55,3,1,1.672,23.68,7.64,151,205,74
Sri Lanka,128,59,65,2,2,0.907,21.41,7.71,127,260,82
Zimbabwe,76,18,56,2,0,0.321,20.09,7.35,76,200,84
Bermuda,15,4,10,0,1,0.400,13.83,6.00,15,158,70
Netherlands,75,39,32,1,3,1.218,22.39,7.52,73,206,39
Bangladesh,96,32,62,0,2,0.516,20.45,7.58,96,215,70
Kenya,38,15,23,0,0,0.652,16.62,6.34,38,183,56
Namibia,16,12,4,0,0,3.000,24.85,8.17,16,240,96
Ireland,98,41,48,2,7,0.854,20.70,7.62,94,225,68
Scotland,65,29,32,1,3,0.906,22.84,7.75,62,252,81
Afghanistan,81,55,25,1,0,2.200,23.04,7.88,81,278,72
