,Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
0,Shakib Al Hasan (BAN),2006-2021,94,93,347.3,3,2316,117,5/20,19.79,6.66,17.8,5,1
1,TG Southee (NZ),2008-2021,92,90,332.5,2,2729,111,5/18,24.58,8.19,17.9,1,1
2,SL Malinga (SL),2006-2020,84,83,299.5,1,2225,107,5/6,20.79,7.42,16.8,1,2
3,Rashid Khan (AFG/ICC),2015-2021,56,56,211.2,1,1312,103,5/3,12.73,6.2,12.3,4,2
4,Shahid Afridi (ICC/PAK),2006-2018,99,97,361.2,4,2396,98,4/11,24.44,6.63,22.1,3,0
5,Mustafizur Rahman (BAN),2015-2021,61,61,219.4,6,1678,86,5/22,19.51,7.63,15.3,3,1
6,Umar Gul (PAK),2007-2016,60,60,200.3,2,1443,85,5/6,16.97,7.19,14.1,4,2
7,Saeed Ajmal (PAK),2009-2015,64,63,238.2,2,1516,85,4/19,17.83,6.36,16.8,4,0
8,IS Sodhi (NZ),2014-2021,66,64,226.3,0,1824,83,4/28,21.97,8.05,16.3,2,0
9,CJ Jordan (ENG),2014-2021,71,70,246.5,2,2114,79,4/6,26.75,8.56,18.7,2,0
10,DJ Bravo (WI),2006-2021,91,77,250.5,0,2036,78,4/19,26.1,8.11,19.2,3,0
11,GH Dockrell (IRE),2010-2021,86,73,230.2,1,1642,76,4/20,21.6,7.12,18.1,1,0
12,AU Rashid (ENG),2009-2021,68,65,233.2,2,1725,74,4/2,23.31,7.39,18.9,2,0
13,Shadab Khan (PAK),2017-2021,64,60,223.3,3,1591,73,4/14,21.79,7.11,18.3,2,0
14,Mohammad Nabi (AFG),2010-2021,86,85,281.4,5,2041,73,4/10,27.95,7.24,23.1,3,0
15,BAW Mendis (SL),2008-2014,39,39,147.3,5,952,66,6/8,14.42,6.45,13.4,3,2
16,JJ Bumrah (INDIA),2016-2021,55,54,197.5,8,1290,66,3/11,19.54,6.52,17.9,0,0
17,MJ Santner (NZ),2015-2021,62,61,208.2,1,1515,66,4/11,22.95,7.27,18.9,2,0
18,KMDN Kulasekara (SL),2008-2017,58,58,205.1,6,1530,66,4/31,23.18,7.45,18.6,2,0
19,A Zampa (AUS),2016-2021,57,56,201.5,1,1375,65,5/19,21.15,6.81,18.6,0,1
20,SCJ Broad (ENG),2006-2014,56,55,195.3,2,1491,65,4/24,22.93,7.62,18.0,1,0
21,DW Steyn (SA),2007-2020,47,47,169.1,3,1175,64,4/9,18.35,6.94,15.8,2,0
22,YS Chahal (INDIA),2016-2021,50,50,195.3,1,1620,64,6/25,25.31,8.28,18.3,2,1
23,Imran Tahir (SA/World),2013-2019,38,38,140.5,0,948,63,5/23,15.04,6.73,13.4,2,2
24,TA Boult (NZ),2013-2021,44,44,165.3,1,1345,62,4/34,21.69,8.12,16.0,1,0
25,R Ashwin (INDIA),2010-2021,51,51,191.0,2,1298,61,4/8,21.27,6.79,18.7,2,0
26,Mohammad Hafeez (PAK),2006-2021,119,79,210.1,3,1388,61,4/10,22.75,6.6,20.6,1,0
27,SM Sharif (SCOT),2012-2021,53,52,181.1,0,1470,61,4/24,24.09,8.11,17.8,2,0
28,Hasan Ali (PAK),2016-2021,48,47,163.1,5,1359,60,4/18,22.65,8.32,16.3,1,0
29,MA Starc (AUS),2012-2021,48,48,181.0,1,1361,60,3/11,22.68,7.51,18.1,0,0
30,Mohammad Amir (PAK),2009-2020,50,50,179.5,5,1263,59,4/13,21.4,7.02,18.2,1,0
31,KJ O'Brien (IRE),2008-2021,110,52,152.5,0,1149,58,4/45,19.81,7.51,15.8,1,0
32,NL McCullum (NZ),2007-2016,63,59,187.1,0,1278,58,4/16,22.03,6.82,19.3,2,0
33,PM Seelaar (NED),2008-2021,77,64,188.4,4,1290,58,4/19,22.24,6.83,19.5,1,0
34,T Shamsi (SA),2017-2021,47,47,175.0,1,1181,57,4/25,20.71,6.74,18.4,2,0
35,Bilal Khan (OMA),2015-2021,38,37,133.1,4,878,56,4/19,15.67,6.59,14.2,3,0
36,MRJ Watt (SCOT),2015-2021,47,45,167.0,2,1164,56,5/27,20.78,6.97,17.8,0,1
37,S Badree (WI/World),2012-2018,52,52,191.0,4,1180,56,4/15,21.07,6.17,20.4,1,0
38,WB Rankin (ENG/IRE),2009-2020,50,49,178.0,2,1219,55,3/16,22.16,6.84,19.4,0,0
39,Imad Wasim (PAK),2015-2021,58,57,204.0,3,1292,55,5/14,23.49,6.33,22.2,1,1
40,RE van der Merwe (NED/SA),2009-2021,46,44,155.1,1,995,54,4/35,18.42,6.41,17.2,1,0
41,Sohail Tanvir (PAK),2007-2017,57,57,202.2,3,1454,54,3/12,26.92,7.18,22.4,0,0
42,B Kumar (INDIA),2012-2021,55,55,194.5,3,1355,53,5/24,25.56,6.95,22.0,1,1
43,PWH de Silva (SL),2019-2021,33,31,114.4,0,713,52,4/9,13.71,6.21,13.2,1,0
44,SP Narine (WI),2012-2019,51,49,183.4,1,1105,52,4/12,21.25,6.01,21.1,1,0
45,GP Swann (ENG),2008-2012,39,38,135.0,4,859,51,3/13,16.84,6.36,15.8,0,0
46,NLTC Perera (ICC/SL/World),2010-2021,84,67,183.4,1,1717,51,3/24,33.66,9.34,21.6,0,0
47,MR Adair (IRE),2019-2021,29,29,105.3,2,727,50,4/23,14.54,6.89,12.6,2,0
48,SO Ngoche (KENYA),2010-2021,41,40,139.0,2,903,49,4/14,18.42,6.49,17.0,2,0
49,Rohan Mustafa (UAE),2014-2021,46,44,143.5,3,968,49,4/18,19.75,6.73,17.6,1,0
50,K Rabada (SA),2014-2021,40,40,145.1,0,1245,49,3/20,25.4,8.57,17.7,0,0
51,PA van Meekeren (NED),2013-2021,46,44,150.1,2,1081,48,4/11,22.52,7.19,18.7,2,0
52,SR Watson (AUS),2006-2016,58,49,155.0,2,1187,48,4/15,24.72,7.65,19.3,1,0
53,S Lamichhane (ICC/NEPAL),2018-2021,26,26,95.5,3,658,47,4/20,14.0,6.86,12.2,2,0
54,AJ Tye (AUS),2016-2021,32,31,113.5,1,997,47,4/23,21.21,8.75,14.5,1,0
55,M Morkel (SA/World),2007-2017,44,44,158.4,3,1191,47,4/17,25.34,7.5,20.2,2,0
56,Aizaz Khan (HKG),2014-2020,39,39,133.2,2,933,46,3/10,20.28,6.99,17.3,0,0
57,RA Jadeja (INDIA),2009-2021,55,54,179.1,4,1253,46,3/15,27.23,6.99,23.3,0,0
58,Iqbal Hussain (QAT),2019-2021,26,26,94.0,0,693,45,4/16,15.4,7.37,12.5,2,0
59,Shaheen Shah Afridi (PAK),2018-2021,39,39,143.2,2,1122,45,3/20,24.93,7.82,19.1,0,0
60,JN Frylinck (NAM),2019-2021,27,26,86.4,0,546,44,6/24,12.4,6.3,11.8,1,1
61,Ahsan Malik (NED),2012-2017,31,29,95.5,1,730,44,5/19,16.59,7.61,13.0,1,1
62,Karan KC (NEPAL),2015-2021,33,33,111.0,2,820,44,4/17,18.63,7.38,15.1,2,0
63,Abdur Razzak (BAN),2006-2014,34,33,121.4,4,838,44,4/16,19.04,6.88,16.5,1,0
64,DJG Sammy (WI/World),2007-2017,68,59,152.4,0,1116,44,5/26,25.36,7.31,20.8,1,1
65,JW Dernbach (ENG/ITA),2011-2021,40,39,137.4,1,1170,44,4/22,26.59,8.49,18.7,1,0
66,Al-Amin Hossain (BAN),2013-2020,31,29,102.2,0,730,43,3/20,16.97,7.13,14.2,0,0
67,Mudassar Bukhari (NED),2008-2016,38,35,117.2,4,780,43,4/7,18.13,6.64,16.3,3,0
68,AC Agar (AUS),2016-2021,40,40,137.4,1,926,43,6/30,21.53,6.72,19.2,0,2
69,KD Mills (NZ),2005-2014,42,42,149.3,1,1228,43,3/26,28.55,8.21,20.8,0,0
70,SS Cottrell (WI),2014-2021,34,33,117.1,2,920,42,4/28,21.9,7.85,16.7,1,0
71,PJ Cummins (AUS),2011-2021,37,37,134.0,3,940,42,3/15,22.38,7.01,19.1,0,0
72,HH Pandya (INDIA),2016-2021,54,47,139.5,1,1151,42,4/38,27.4,8.23,19.9,1,0
73,Mashrafe Mortaza (BAN),2006-2017,54,53,189.5,1,1527,42,4/19,36.35,8.04,27.1,1,0
74,Kuldeep Yadav (INDIA),2017-2021,23,22,81.3,1,583,41,5/24,14.21,7.15,11.9,1,1
75,KOK Williams (WI),2016-2020,26,26,91.5,2,805,41,4/28,19.63,8.76,13.4,1,0
76,T van der Gugten (NED),2012-2021,40,39,121.5,0,879,41,3/9,21.43,7.21,17.8,0,0
77,Haris Rauf (PAK),2020-2021,34,32,119.3,0,1009,41,4/22,24.6,8.44,17.4,1,0
78,WD Parnell (SA),2009-2017,40,39,124.5,3,1038,41,4/13,25.31,8.31,18.2,1,0
79,DM Nakrani (UGA),2019-2021,26,25,86.0,3,467,40,6/7,11.67,5.43,12.9,0,2
80,AL Phehlukwayo (SA),2017-2021,35,32,100.4,0,846,40,4/24,21.15,8.4,15.1,1,0
81,AC Evans (SCOT),2015-2021,34,32,116.0,4,892,40,5/24,22.3,7.68,17.4,0,1
82,Dawlat Zadran (AFG),2012-2019,34,34,123.3,2,980,40,4/44,24.5,7.93,18.5,1,0
83,AD Russell (WI),2011-2021,67,56,148.3,0,1364,39,3/43,34.97,9.18,22.8,0,0
84,DL Vettori (NZ),2007-2014,34,34,131.1,1,748,38,4/20,19.68,5.7,20.7,1,0
85,MG Johnson (AUS),2007-2013,30,30,109.2,2,797,38,3/15,20.97,7.28,17.2,0,0
86,DJ Willey (ENG),2015-2021,32,32,106.5,0,854,38,4/7,22.47,7.99,16.8,1,0
87,KA Pollard (WI),2008-2021,93,57,125.4,0,1062,38,4/25,27.94,8.45,19.8,1,0
88,PVD Chameera (SL),2015-2021,39,39,136.2,0,1075,38,4/17,28.28,7.88,21.5,1,0
89,AD Mathews (SL),2009-2021,78,61,171.3,4,1200,38,3/16,31.57,6.99,27.0,0,0
90,Mohammad Naveed (UAE),2015-2019,31,31,114.4,5,729,37,3/14,19.7,6.35,18.5,0,0
91,J Botha (SA),2006-2012,40,39,129.0,1,823,37,3/16,22.24,6.37,20.9,0,0
92,Shapoor Zadran (AFG),2010-2020,36,36,115.5,3,907,37,3/40,24.51,7.83,18.7,0,0
93,Khawar Ali (OMA),2015-2021,34,32,97.0,0,634,36,4/16,17.61,6.53,16.1,2,0
94,JP Faulkner (AUS),2012-2017,24,24,85.5,0,684,36,5/27,19.0,7.96,14.3,0,1
95,L Ngidi (SA),2017-2021,23,23,78.5,0,706,36,4/19,19.61,8.95,13.1,1,0
96,Mahmudullah (BAN),2007-2021,113,67,137.3,2,995,36,3/10,27.63,7.23,22.9,0,0
97,N Vanua (PNG),2015-2021,30,25,81.4,3,505,35,5/17,14.42,6.18,14.0,1,1
98,Hamid Hassan (AFG),2010-2021,25,25,90.4,2,580,35,4/22,16.57,6.39,15.5,1,0
99,AG Cremer (ZIM),2008-2018,29,28,95.0,1,660,35,3/11,18.85,6.94,16.2,0,0
100,AR Cusack (IRE),2008-2015,37,33,101.0,3,714,35,4/11,20.4,7.06,17.3,3,0
101,Faheem Ashraf (PAK),2017-2021,42,41,119.5,1,903,35,3/5,25.8,7.53,20.5,0,0
102,CH Morris (SA),2012-2019,23,23,83.0,3,697,34,4/27,20.5,8.39,14.6,1,0
103,A Nehra (INDIA),2009-2017,27,27,98.0,2,758,34,3/19,22.29,7.73,17.2,0,0
104,JH Davey (SCOT),2012-2021,28,27,98.5,0,791,34,4/18,23.26,8.0,17.4,2,0
105,NM Coulter-Nile (AUS),2013-2019,28,27,97.0,1,802,34,4/31,23.58,8.26,17.1,1,0
106,TL Chatara (ZIM),2010-2021,30,30,108.0,1,841,34,3/20,24.73,7.78,19.0,0,0
107,Wahab Riaz (PAK),2008-2020,36,35,118.2,2,971,34,3/18,28.55,8.2,20.8,0,0
108,CA Young (IRE),2015-2021,42,40,131.3,1,1055,34,4/13,31.02,8.02,23.2,1,0
109,Amjad Javed (UAE),2014-2017,22,22,74.2,1,560,33,3/12,16.96,7.53,13.5,0,0
110,Zahoor Khan (UAE),2017-2021,26,26,88.3,1,581,33,4/29,17.6,6.56,16.0,1,0
111,LM Jongwe (ZIM),2015-2021,22,21,72.0,0,611,33,4/18,18.51,8.48,13.0,1,0
112,D Wiese (NAM/SA),2013-2021,31,31,105.2,0,802,33,5/23,24.3,7.61,19.1,0,1
113,JE Taylor (WI),2006-2018,30,30,100.0,2,863,33,3/6,26.15,8.63,18.1,0,0
114,GJ Maxwell (AUS),2012-2021,79,53,122.0,0,911,33,3/10,27.6,7.46,22.1,0,0
115,CB Mpofu (ZIM),2008-2020,32,32,115.4,0,1035,33,4/30,31.36,8.94,21.0,1,0
116,SC Williams (ZIM),2006-2021,50,47,143.0,0,1038,33,3/15,31.45,7.25,26.0,0,0
117,Mujeeb Ur Rahman (AFG),2018-2021,22,22,84.0,0,508,32,5/20,15.87,6.04,15.7,1,1
118,DT Johnston (IRE),2008-2013,30,28,99.0,5,636,32,4/22,19.87,6.42,18.5,1,0
119,JR Hazlewood (AUS),2013-2021,24,24,90.4,2,707,32,4/30,22.09,7.79,17.0,2,0
120,AF Milne (NZ),2010-2021,31,31,108.5,2,854,32,4/37,26.68,7.84,20.4,1,0
121,BM Scholtz (NAM),2019-2021,27,27,86.4,0,513,31,4/12,16.54,5.91,16.7,1,0
122,Waseem Abbas (MLT),2019-2021,23,23,80.0,1,591,31,5/37,19.06,7.38,15.4,1,1
123,Sompal Kami (NEPAL),2014-2021,33,33,106.0,2,729,31,3/20,23.51,6.87,20.5,0,0
124,SN Thakur (INDIA),2018-2021,24,23,80.2,0,739,31,4/27,23.83,9.19,15.5,1,0
125,R Rampaul (WI),2007-2021,27,27,95.5,1,803,31,3/16,25.9,8.37,18.5,0,0
126,Mohammad Saifuddin (BAN),2017-2021,29,29,100.0,0,826,31,4/33,26.64,8.26,19.3,1,0
127,CR Brathwaite (WI),2011-2019,41,39,118.1,1,1013,31,3/20,32.67,8.57,22.8,0,0
128,CW Perchard (JER),2019-2021,21,19,68.5,0,380,30,5/17,12.66,5.52,13.7,2,1
129,BD Glover (NED),2019-2021,21,21,71.0,0,481,30,4/12,16.03,6.77,14.2,2,0
130,Amir Hamza (AFG),2013-2021,33,33,111.0,2,752,30,3/39,25.06,6.77,22.2,0,0
131,MJ McClenaghan (ICC/NZ),2012-2018,29,29,101.2,2,789,30,3/17,26.3,7.78,20.2,0,0
132,Karim Janat (AFG),2016-2021,32,31,101.1,0,838,30,5/11,27.93,8.28,20.2,0,1
133,Ahmed Raza (UAE),2014-2021,45,44,151.0,2,969,30,2/8,32.3,6.41,30.2,0,0
134,KW Richardson (AUS),2014-2021,26,26,89.0,0,705,29,3/18,24.31,7.92,18.4,0,0
135,Simi Singh (IRE),2018-2021,37,37,110.2,0,835,29,3/15,28.79,7.56,22.8,0,0
136,TK Curran (ENG),2017-2021,30,29,98.0,1,907,29,4/36,31.27,9.25,20.2,1,0
137,D Heyliger (CAN),2019-2021,17,17,59.4,0,394,28,5/16,14.07,6.6,12.7,2,1
138,DP Nannes (AUS/NED),2009-2010,17,16,61.0,2,459,28,4/18,16.39,7.52,13.0,1,0
139,RM Haq (SCOT),2007-2013,21,20,75.0,1,472,28,3/20,16.85,6.29,16.0,0,0
140,DG Blampied (JER),2019-2021,23,23,77.4,1,498,28,4/20,17.78,6.41,16.6,1,0
141,Yuvraj Singh (INDIA),2007-2017,58,31,70.4,0,499,28,3/17,17.82,7.06,15.1,0,0
142,SW Tait (AUS),2007-2016,21,21,79.4,2,589,28,3/13,21.03,7.39,17.0,0,0
143,Mohammed Nadeem (QAT),2019-2021,26,26,91.0,0,615,28,4/10,21.96,6.75,19.5,1,0
144,IK Pathan (INDIA),2006-2012,24,23,77.0,1,618,28,3/16,22.07,8.02,16.5,0,0
145,KM Jarvis (ZIM),2011-2019,22,22,74.4,0,665,28,3/15,23.75,8.9,16.0,0,0
146,Shoaib Malik (ICC/PAK),2006-2021,124,49,95.0,0,675,28,2/7,24.1,7.1,20.3,0,0
147,Samiullah Shinwari (AFG),2010-2020,64,38,105.4,0,688,28,5/13,24.57,6.51,22.6,1,1
148,B Lee (AUS),2005-2012,25,25,90.5,0,714,28,3/23,25.5,7.86,19.4,0,0
149,MM Ali (ENG),2014-2021,44,37,95.1,1,761,28,2/15,27.17,7.99,20.3,0,0
150,A Dananjaya (SL),2012-2021,31,31,110.5,1,909,28,3/36,32.46,8.2,23.7,0,0
151,Rubel Hossain (BAN),2009-2021,28,27,96.3,0,912,28,3/31,32.57,9.45,20.6,0,0
152,HS Baidwan (CAN),2008-2013,17,17,53.5,1,411,27,4/19,15.22,7.63,11.9,1,0
153,Pavandeep Singh (MAL),2019-2021,22,22,78.1,1,536,27,3/12,19.85,6.85,17.3,0,0
154,B Stanlake (AUS),2017-2019,19,19,70.0,2,544,27,4/8,20.14,7.77,15.5,1,0
155,ST Finn (ENG),2011-2015,21,21,80.0,0,583,27,3/16,21.59,7.28,17.7,0,0
156,RD Berrington (SCOT),2008-2021,74,40,85.2,0,647,27,3/17,23.96,7.58,18.9,0,0
157,I Udana (SL),2009-2021,35,32,105.1,1,915,27,3/11,33.88,8.7,23.3,0,0
158,D Ravu (PNG),2019-2021,20,19,52.1,0,324,26,5/15,12.46,6.21,12.0,1,1
159,MC Sorensen (IRE),2012-2016,26,22,65.0,2,471,26,3/17,18.11,7.24,15.0,0,0
160,KJ Abbott (SA),2013-2016,21,21,72.4,0,579,26,3/20,22.26,7.96,16.7,0,0
161,MA Wood (ENG),2015-2021,19,19,71.3,1,621,26,3/9,23.88,8.68,16.5,0,0
162,WP Masakadza (ZIM),2015-2021,28,28,90.0,1,650,26,4/28,25.0,7.22,20.7,1,0
163,MA Leask (SCOT),2013-2021,43,32,84.3,0,677,26,3/20,26.03,8.01,19.5,0,0
164,NN Odhiambo (KENYA),2007-2021,35,31,88.1,1,688,26,5/20,26.46,7.8,20.3,0,1
165,P Utseya (ZIM),2006-2015,35,35,124.5,2,858,26,3/25,33.0,6.87,28.8,0,0
166,JA Morkel (SA),2005-2015,50,46,107.5,2,864,26,3/12,33.23,8.01,24.8,0,0
167,MA Baig (MWI),2019-2021,13,13,45.0,1,236,25,5/13,9.44,5.24,10.8,1,1
168,LH Ferguson (NZ),2017-2021,15,15,54.0,0,385,25,5/21,15.4,7.12,12.9,0,1
169,B Regmi (NEPAL),2014-2019,18,18,62.1,0,405,25,4/16,16.2,6.51,14.9,1,0
170,Aamir Kaleem (OMA),2015-2020,28,23,65.0,0,462,25,5/15,18.48,7.1,15.6,2,1
171,E Otieno (KENYA),2012-2021,25,25,74.3,3,525,25,3/16,21.0,7.04,17.8,0,0
172,SE Bond (NZ),2005-2010,20,20,77.3,2,543,25,3/18,21.72,7.0,18.6,0,0
173,Nadeem Ahmed (HKG),2014-2017,24,24,82.3,3,546,25,4/21,21.84,6.61,19.8,1,0
174,SMSM Senanayake (SL),2012-2016,24,23,81.0,0,549,25,4/46,21.96,6.77,19.4,1,0
175,BE Hendricks (SA),2014-2021,19,19,68.1,0,627,25,4/14,25.08,9.19,16.3,1,0
176,LE Plunkett (ENG),2006-2019,22,22,79.2,1,627,25,3/21,25.08,7.9,19.0,0,0
177,Harbhajan Singh (INDIA),2006-2016,28,27,102.0,5,633,25,4/12,25.32,6.2,24.4,1,0
178,B Muzarabani (ZIM),2018-2021,21,21,81.4,0,653,25,3/21,26.12,7.99,19.6,0,0
179,Mohammad Nawaz (PAK),2016-2021,30,30,97.0,1,694,25,2/11,27.76,7.15,23.2,0,0
180,Washington Sundar (INDIA),2017-2021,31,30,103.3,1,750,25,3/22,30.0,7.24,24.8,0,0
